id,waste_description,waste_category
1,Damaged rechargeable battery,Hazardous & Lamps
2,Electric stove,Large Equipment
3,CRT TV old model,Screens & Monitors
4,Router device,Small IT & General Equipment
5,CRT TV old model,Screens & Monitors
6,Damaged rechargeable battery,Hazardous & Lamps
7,Electronic toy,Small IT & General Equipment
8,Notebook display,Screens & Monitors
9,Electric stove,Large Equipment
10,Fluorescent tube light,Hazardous & Lamps
11,Dishwasher machine,Large Equipment
12,Lithium ion battery from mobile phone,Hazardous & Lamps
13,Washing machine not working,Large Equipment
14,AA alkaline battery,Hazardous & Lamps
15,Mobile phone not switching on,Small IT & General Equipment
16,Damaged rechargeable battery,Hazardous & Lamps
17,Broken LED bulb,Hazardous & Lamps
18,Old CFL lamp,Hazardous & Lamps
19,Phone charger cable,Small IT & General Equipment
20,Washing machine not working,Large Equipment
21,Old CFL lamp,Hazardous & Lamps
22,Dishwasher machine,Large Equipment
23,LCD monitor 24 inch,Screens & Monitors
24,Washing machine not working,Large Equipment
25,Old CFL lamp,Hazardous & Lamps
26,UPS battery,Hazardous & Lamps
27,Button cell battery,Hazardous & Lamps
28,Freezer unit,Large Equipment
29,Tablet display cracked,Screens & Monitors
30,LCD monitor 24 inch,Screens & Monitors
31,Freezer unit,Large Equipment
32,Fluorescent tube light,Hazardous & Lamps
33,Router device,Small IT & General Equipment
34,UPS battery,Hazardous & Lamps
35,Fluorescent tube light,Hazardous & Lamps
36,Fluorescent tube light,Hazardous & Lamps
37,Computer CPU cabinet,Small IT & General Equipment
38,Refrigerator cooling issue,Large Equipment
39,Industrial copier,Large Equipment
40,Fluorescent tube light,Hazardous & Lamps
41,Desktop computer monitor,Screens & Monitors
42,Power bank battery,Hazardous & Lamps
43,Office monitor screen,Screens & Monitors
44,CRT TV old model,Screens & Monitors
45,LED television,Screens & Monitors
46,Power bank battery,Hazardous & Lamps
47,Button cell battery,Hazardous & Lamps
48,Power bank battery,Hazardous & Lamps
49,Electric stove,Large Equipment
50,Damaged rechargeable battery,Hazardous & Lamps
51,Lithium ion battery from mobile phone,Hazardous & Lamps
52,Broken laptop screen,Screens & Monitors
53,Old CFL lamp,Hazardous & Lamps
54,Refrigerator cooling issue,Large Equipment
55,Computer CPU cabinet,Small IT & General Equipment
56,Electronic toy,Small IT & General Equipment
57,Flat screen TV,Screens & Monitors
58,Industrial copier,Large Equipment
59,Broken laptop screen,Screens & Monitors
60,Electronic toy,Small IT & General Equipment
61,Industrial copier,Large Equipment
62,Industrial copier,Large Equipment
63,Mercury lamp,Hazardous & Lamps
64,Industrial copier,Large Equipment
65,Industrial copier,Large Equipment
66,Microwave oven,Small IT & General Equipment
67,Mercury lamp,Hazardous & Lamps
68,Router device,Small IT & General Equipment
69,Tablet display cracked,Screens & Monitors
70,Computer CPU cabinet,Small IT & General Equipment
71,Touchscreen panel,Screens & Monitors
72,Old CFL lamp,Hazardous & Lamps
73,Flat screen TV,Screens & Monitors
74,Large office printer,Large Equipment
75,LCD monitor 24 inch,Screens & Monitors
76,Fluorescent tube light,Hazardous & Lamps
77,CRT TV old model,Screens & Monitors
78,Notebook display,Screens & Monitors
79,Flat screen TV,Screens & Monitors
80,Phone charger cable,Small IT & General Equipment
81,Fluorescent tube light,Hazardous & Lamps
82,Tablet display cracked,Screens & Monitors
83,Fluorescent tube light,Hazardous & Lamps
84,Broken laptop screen,Screens & Monitors
85,CRT TV old model,Screens & Monitors
86,Heat pump machine,Large Equipment
87,Washing machine not working,Large Equipment
88,Electric stove,Large Equipment
89,Industrial copier,Large Equipment
90,Electric kettle,Small IT & General Equipment
91,Freezer unit,Large Equipment
92,Phone charger cable,Small IT & General Equipment
93,Router device,Small IT & General Equipment
94,Mobile phone not switching on,Small IT & General Equipment
95,Washing machine not working,Large Equipment
96,Mobile phone not switching on,Small IT & General Equipment
97,AA alkaline battery,Hazardous & Lamps
98,Dishwasher machine,Large Equipment
99,Office monitor screen,Screens & Monitors
100,Desktop computer monitor,Screens & Monitors
101,Broken LED bulb,Hazardous & Lamps
102,Broken laptop screen,Screens & Monitors
103,Router device,Small IT & General Equipment
104,Desktop computer monitor,Screens & Monitors
